,Cluster,Companies
1519,6,35758
1520,6,12248
1521,6,12242
1522,6,12199
1523,6,35792
1524,6,12198
1525,6,12197
1526,6,35840
1527,6,12196
1528,6,35841
1529,6,35850
1530,6,35851
1531,6,17438
1532,6,12173
1533,6,12172
1534,6,35855
1535,6,12142
1536,6,35752
1537,6,12250
1538,6,35750
1539,6,35749
1540,6,12343
1541,6,12342
1542,6,35610
1543,6,35614
1544,6,35615
1545,6,35616
1546,6,35643
1547,6,35698
1548,6,35699
1549,6,12141
1550,6,35700
1551,6,12302
1552,6,12294
1553,6,12293
1554,6,35745
1555,6,12288
1556,6,12280
1557,6,35747
1558,6,12264
1559,6,12263
1560,6,35701
1561,6,12140
1562,6,12131
1563,6,12130
1564,6,36009
1565,6,11957
1566,6,11949
1567,6,11940
1568,6,11909
1569,6,11908
1570,6,36047
1571,6,11907
1572,6,36051
1573,6,36007
1574,6,36052
1575,6,36093
1576,6,36095
1577,6,11893
1578,6,11892
1579,6,11840
1580,6,11839
1581,6,36179
1582,6,11822
1583,6,36218
1584,6,36091
1585,6,12356
1586,6,12004
1587,6,36004
1588,6,35858
1589,6,12128
1590,6,35880
1591,6,12126
1592,6,35881
1593,6,12120
1594,6,35883
1595,6,12076
1596,6,12075
1597,6,36005
1598,6,12062
1599,6,35925
1600,6,12037
1601,6,12036
1602,6,36001
1603,6,12022
1604,6,36002
1605,6,36003
1606,6,12014
1607,6,12013
1608,6,12045
1609,6,35513
1610,6,12374
1611,6,12403
1612,6,13496
1613,6,13373
1614,6,35019
1615,6,35051
1616,6,35052
1617,6,13363
1618,6,35057
1619,6,13338
1620,6,35058
1621,6,13497
1622,6,13336
1623,6,35059
1624,6,13286
1625,6,35060
1626,6,35066
1627,6,13262
1628,6,13261
1629,6,13230
1630,6,13226
1631,6,35068
1632,6,13297
1633,6,13209
1634,6,35018
1635,6,35015
1636,6,13943
1637,6,34958
1638,6,34959
1639,6,13884
1640,6,13867
1641,6,34960
1642,6,34961
1643,6,13833
1644,6,34993
1645,6,35016
1646,6,34996
1647,6,13732
1648,6,13659
1649,6,35006
1650,6,35009
1651,6,13604
1652,6,35011
1653,6,13582
1654,6,13542
1655,6,13541
1656,6,35003
1657,6,13954
1658,6,13208
1659,6,35108
1660,6,35373
1661,6,12626
1662,6,12624
1663,6,12619
1664,6,35374
1665,6,12614
1666,6,35435
1667,6,12583
1668,6,12582
1669,6,35371
1670,6,12581
1671,6,35440
1672,6,12572
1673,6,12532
1674,6,35444
1675,6,12470
1676,6,12420
1677,6,12419
1678,6,35476
1679,6,12405
1680,6,35436
1681,6,13207
1682,6,35304
1683,6,12836
1684,6,13205
1685,6,35146
1686,6,13192
1687,6,13051
1688,6,13050
1689,6,13046
1690,6,35194
1691,6,35195
1692,6,35231
1693,6,12835
1694,6,12949
1695,6,12911
1696,6,12910
1697,6,12895
1698,6,12894
1699,6,12892
1700,6,12891
1701,6,35259
1702,6,12881
1703,6,35261
1704,6,35232
1705,6,12174
1706,6,121578
1707,6,9679
1708,6,515
1709,6,516
1710,6,2037
1711,6,519
1712,6,520
1713,6,525
1714,6,2024
1715,6,2038
1716,6,2022
1717,6,535
1718,6,2014
1719,6,536
1720,6,537
1721,6,538
1722,6,542
1723,6,2002
1724,6,532
1725,6,512
1726,6,511
1727,6,2047
1728,6,2069
1729,6,488
1730,6,489
1731,6,490
1732,6,2064
1733,6,2063
1734,6,2062
1735,6,492
1736,6,2059
1737,6,494
1738,6,495
1739,6,2055
1740,6,497
1741,6,500
1742,6,503
1743,6,2049
1744,6,510
1745,6,545
1746,6,2072
1747,6,1998
1748,6,1994
1749,6,593
1750,6,1935
1751,6,1932
1752,6,599
1753,6,603
1754,6,604
1755,6,1922
1756,6,1939
1757,6,609
1758,6,1918
1759,6,1088
1760,6,1128
1761,6,1915
1762,6,1911
1763,6,1907
1764,6,1904
1765,6,611
1766,6,1941
1767,6,591
1768,6,1944
1769,6,1989
1770,6,548
1771,6,552
1772,6,553
1773,6,557
1774,6,1973
1775,6,1971
1776,6,564
1777,6,1963
1778,6,575
1779,6,577
1780,6,1958
1781,6,1957
1782,6,578
1783,6,1947
1784,6,589
1785,6,1946
1786,6,1997
1787,6,487
1788,6,2076
1789,6,486
1790,6,395
1791,6,2731
1792,6,2729
1793,6,2721
1794,6,2713
1795,6,2711
1796,6,2696
1797,6,2737
1798,6,2692
1799,6,2688
1800,6,2682
1801,6,401
1802,6,402
1803,6,2179
1804,6,412
1805,6,2161
1806,6,397
1807,6,394
1808,6,389
1809,6,2900
1810,6,4402
1811,6,366
1812,6,367
1813,6,4031
1814,6,3248
1815,6,372
1816,6,3234
1817,6,3157
1818,6,373
1819,6,376
1820,6,377
1821,6,3081
1822,6,380
1823,6,381
1824,6,2912
1825,6,2908
1826,6,386
1827,6,415
1828,6,418
1829,6,2155
1830,6,420
1831,6,2115
1832,6,2113
1833,6,2111
1834,6,468
1835,6,2109
1836,6,472
1837,6,474
1838,6,2101
1839,6,2100
1840,6,2099
1841,6,478
1842,6,481
1843,6,2090
1844,6,2084
1845,6,2081
1846,6,2079
1847,6,2078
1848,6,465
1849,6,1903
1850,6,463
1851,6,2124
1852,6,425
1853,6,2149
1854,6,2146
1855,6,2145
1856,6,436
1857,6,440
1858,6,2140
1859,6,445
1860,6,2135
1861,6,2134
1862,6,447
1863,6,453
1864,6,454
1865,6,456
1866,6,2130
1867,6,457
1868,6,2126
1869,6,2122
1870,6,1897
1871,6,1894
1872,6,1879
1873,6,1560
1874,6,1299
1875,6,1553
1876,6,1551
1877,6,1303
1878,6,1540
1879,6,1313
1880,6,1297
1881,6,1314
1882,6,1525
1883,6,1524
1884,6,1322
1885,6,1520
1886,6,1519
1887,6,1324
1888,6,1325
1889,6,1315
1890,6,1567
1891,6,1293
